customer_name,email,tel_num,address
Khách hàng A,26fdsshy5udaa@gmail.com,12345645,abcdef
Khách hàng B,265s5c6ub@gmail.com,12368695,abcdef
Khách hàng C,365s4c35uc@gmail.com,123456764589,abcdef
Khách hàng D,46u5c54d@gmail.com,123453676839,abcdef
Khách hàng E,46u355e@gmail.com,123453676859,abcdef
Khách hàng F,f6535cu4@gmail.com,123445676489,abcdef
Khách hàng H,e6545uh@gmail.com,123456476338,abcdefWWWWW
Khách hàng W,we5556u@gmail.com,12345647689,abcdef
Khách hàng N,r6555ungmailcom,123444689,abcdef
Khách hàng N,n6u52ergmailcom,12344444689,abcdef
